study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	meanraw	sdraw	comments
Renders2007	NA	TAC1_1_1_3	7.0	TAC	concentration	fujimycin	plasma	LC MS/MS	fujimycin_TAC1_1_1_3	1.0	hr	NA	20.3745479055698	NA	9.8380219635694	NA	ng/ml	20.3745479055698	9.8380219635694	dose-adjustment ?
Renders2007	NA	TAC1_1_1_3	7.0	TAC	concentration	fujimycin	plasma	LC MS/MS	fujimycin_TAC1_1_1_3	2.0	hr	NA	19.6860327480765	NA	9.8505655290327	NA	ng/ml	19.6860327480765	9.8505655290327	dose-adjustment ?
Renders2007	NA	TAC1_1_1_3	7.0	TAC	concentration	fujimycin	plasma	LC MS/MS	fujimycin_TAC1_1_1_3	3.0	hr	NA	15.4662162162162	NA	7.718872887486	NA	ng/ml	15.4662162162162	7.718872887486	dose-adjustment ?
Renders2007	NA	TAC1_1_1_3	7.0	TAC	concentration	fujimycin	plasma	LC MS/MS	fujimycin_TAC1_1_1_3	4.0	hr	NA	13.1380614190833	NA	5.9657887814822	NA	ng/ml	13.1380614190833	5.9657887814822	dose-adjustment ?
Renders2007	NA	TAC1_1_1_3	7.0	TAC	concentration	fujimycin	plasma	LC MS/MS	fujimycin_TAC1_1_1_3	6.0	hr	NA	10.4998849214177	NA	5.2090550404419	NA	ng/ml	10.4998849214177	5.2090550404419	dose-adjustment ?
Renders2007	NA	TAC1_1_1_3	7.0	TAC	concentration	fujimycin	plasma	LC MS/MS	fujimycin_TAC1_1_1_3	8.0	hr	NA	9.12296968501348	NA	4.09930624054712	NA	ng/ml	9.12296968501348	4.09930624054712	dose-adjustment ?
Renders2007	NA	TAC1_1_1_3	7.0	TAC	concentration	fujimycin	plasma	LC MS/MS	fujimycin_TAC1_1_1_3	9.0	hr	NA	8.56069573222858	NA	3.83439534424932	NA	ng/ml	8.56069573222858	3.83439534424932	dose-adjustment ?
Renders2007	NA	TAC1_1_1_3	7.0	TAC	concentration	fujimycin	plasma	LC MS/MS	fujimycin_TAC1_1_1_3	10.0	hr	NA	7.68310646412836	NA	2.90101597948304	NA	ng/ml	7.68310646412836	2.90101597948304	dose-adjustment ?
Renders2007	NA	TAC1_1_1_3	7.0	TAC	concentration	fujimycin	plasma	LC MS/MS	fujimycin_TAC1_1_1_3	11.0	hr	NA	6.93164332215427	NA	2.44691589399619	NA	ng/ml	6.93164332215427	2.44691589399619	dose-adjustment ?
Renders2007	NA	TAC1_1_1_3	7.0	TAC	concentration	fujimycin	plasma	LC MS/MS	fujimycin_TAC1_1_1_3	12.0	hr	NA	6.87387387387388	NA	2.358581574275	NA	ng/ml	6.87387387387388	2.358581574275	dose-adjustment ?
