study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	meanraw	sdraw	comments
Renders2007	NA	RAP3_3	7.0	RAP3_3	concentration	rapamycin	blood	LC MS/MS	rapamycin_CYP3A5_3_3	11.0	hr	NA	13.4831715210356	NA	8.38996763754033	NA	ng/ml	7.36785329018338	4.58468176914772	dose-adjustment with 1.83 from table (dose 2.31)
Renders2007	NA	RAP3_3	7.0	RAP3_3	concentration	rapamycin	blood	LC MS/MS	rapamycin_CYP3A5_3_3	12.0	hr	NA	11.8051779935275	NA	6.71197411003227	NA	ng/ml	6.45091693635382	3.66774541531818	dose-adjustment with 1.83 from table (dose 2.31)
Renders2007	NA	RAP3_3	7.0	RAP3_3	concentration	rapamycin	blood	LC MS/MS	rapamycin_CYP3A5_3_3	24.0	hr	NA	9.63365695792879	NA	6.02103559870551	NA	ng/ml	5.26429341963322	3.29018338727077	dose-adjustment with 1.83 from table (dose 2.31)
Renders2007	NA	RAP1_3	3.0	RAP1_3	concentration	rapamycin	blood	LC MS/MS	rapamycin_CYP3A5_1_3	0.0	hr	NA	22.8950377562027	NA	13.8106796116504	NA	ng/ml	4.0237324703344	2.42718446601941	dose-adjustment with 5.69 from table (dose 6.5)
Renders2007	NA	RAP1_3	3.0	RAP1_3	concentration	rapamycin	blood	LC MS/MS	rapamycin_CYP3A5_1_3	0.5	hr	NA	31.7952535059331	NA	23.9385113268608	NA	ng/ml	5.58791801510247	4.20711974110032	dose-adjustment with 5.69 from table (dose 6.5)
Renders2007	NA	RAP1_3	3.0	RAP1_3	concentration	rapamycin	blood	LC MS/MS	rapamycin_CYP3A5_1_3	1.0	hr	NA	44.3783171521036	NA	28.235167206041	NA	ng/ml	7.79935275080906	4.96224379719526	dose-adjustment with 5.69 from table (dose 6.5)
Renders2007	NA	RAP1_3	3.0	RAP1_3	concentration	rapamycin	blood	LC MS/MS	rapamycin_CYP3A5_1_3	2.0	hr	NA	46.5266450916936	NA	30.0765911542611	NA	ng/ml	8.17691477885652	5.28586839266451	dose-adjustment with 5.69 from table (dose 6.5)
Renders2007	NA	RAP1_3	3.0	RAP1_3	concentration	rapamycin	blood	LC MS/MS	rapamycin_CYP3A5_1_3	3.0	hr	NA	45.6059331175836	NA	35.9077669902912	NA	ng/ml	8.01510248112189	6.31067961165048	dose-adjustment with 5.69 from table (dose 6.5)
Renders2007	NA	RAP1_3	3.0	RAP1_3	concentration	rapamycin	blood	LC MS/MS	rapamycin_CYP3A5_1_3	4.0	hr	NA	42.5368932038835	NA	31.3042071197411	NA	ng/ml	7.4757281553398	5.50161812297735	dose-adjustment with 5.69 from table (dose 6.5)
Renders2007	NA	RAP1_3	3.0	RAP1_3	concentration	rapamycin	blood	LC MS/MS	rapamycin_CYP3A5_1_3	6.0	hr	NA	36.3988133764832	NA	27.3144552319309	NA	ng/ml	6.39697950377561	4.80043149946062	dose-adjustment with 5.69 from table (dose 6.5)
Renders2007	NA	RAP1_3	3.0	RAP1_3	concentration	rapamycin	blood	LC MS/MS	rapamycin_CYP3A5_1_3	8.0	hr	NA	33.0228694714131	NA	23.9385113268608	NA	ng/ml	5.80366774541531	4.20711974110032	dose-adjustment with 5.69 from table (dose 6.5)
Renders2007	NA	RAP1_3	3.0	RAP1_3	concentration	rapamycin	blood	LC MS/MS	rapamycin_CYP3A5_1_3	9.0	hr	NA	34.8642934196332	NA	26.700647249191	NA	ng/ml	6.12729234088457	4.69255663430421	dose-adjustment with 5.69 from table (dose 6.5)
Renders2007	NA	RAP1_3	3.0	RAP1_3	concentration	rapamycin	blood	LC MS/MS	rapamycin_CYP3A5_1_3	10.0	hr	NA	30.5676375404531	NA	21.4832793959008	NA	ng/ml	5.37216828478964	3.77562028047465	dose-adjustment with 5.69 from table (dose 6.5)
Renders2007	NA	RAP1_3	3.0	RAP1_3	concentration	rapamycin	blood	LC MS/MS	rapamycin_CYP3A5_1_3	11.0	hr	NA	24.4295577130528	NA	12.8899676375405	NA	ng/ml	4.29341963322545	2.26537216828479	dose-adjustment with 5.69 from table (dose 6.5)
Renders2007	NA	RAP1_3	3.0	RAP1_3	concentration	rapamycin	blood	LC MS/MS	rapamycin_CYP3A5_1_3	12.0	hr	NA	16.7569579288026	NA	9.20711974110033	NA	ng/ml	2.94498381877022	1.61812297734628	dose-adjustment with 5.69 from table (dose 6.5)
Renders2007	NA	RAP1_3	3.0	RAP1_3	concentration	rapamycin	blood	LC MS/MS	rapamycin_CYP3A5_1_3	24.0	hr	NA	14.6086299892124	NA	8.28640776699029	NA	ng/ml	2.56742179072275	1.45631067961165	dose-adjustment with 5.69 from table (dose 6.5)
