study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit
Zha2022	NA	all	11.0	FUJI075_3D	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075_3D	2.5	hr	NA	83436.7149608865	NA	1508.99065623641	NA	ng/ml
Zha2022	NA	all	11.0	FUJI075_3D	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075_3D	3.0	hr	NA	NA	NA	NA	NA	ng/ml
Zha2022	NA	all	11.0	FUJI075_3D	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075_3D	4.0	hr	NA	83663.063559322	NA	980.843926553687	NA	ng/ml
Zha2022	NA	all	11.0	FUJI075_3D	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075_3D	6.0	hr	NA	82304.9719687092	NA	1056.29345936549	NA	ng/ml
Zha2022	NA	all	11.0	FUJI075_3D	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075_3D	8.0	hr	NA	80494.1831812255	NA	1282.642057801	NA	ng/ml
Zha2022	NA	all	11.0	FUJI075_3D	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075_3D	10.0	hr	NA	79286.9906562364	NA	1207.19252498909	NA	ng/ml
Zha2022	NA	all	11.0	FUJI075_3D	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075_3D	12.0	hr	NA	78457.0457953063	NA	1358.09159061279	NA	ng/ml
Zha2022	NA	all	11.0	FUJI075_3D	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075_3D	16.0	hr	NA	77400.7523359409	NA	1207.19252498911	NA	ng/ml
Zha2022	NA	all	11.0	FUJI075_3D	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075_3D	24.0	hr	NA	76193.5598109517	NA	1282.642057801	NA	ng/ml
Zha2022	NA	all	11.0	FUJI075_3D	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075_3D	48.0	hr	NA	74382.771023468	NA	1282.642057801	NA	ng/ml
Zha2022	NA	all	11.0	FUJI075_3D	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075_3D	72.0	hr	NA	72647.4317687961	NA	NA	NA	ng/ml
Zha2022	NA	all	11.0	FUJI075_3D	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075_3D	96.0	hr	NA	71289.3401781834	NA	1508.99065623641	NA	ng/ml
Zha2022	NA	all	11.0	FUJI075_3D	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075_3D	120.0	hr	NA	69780.3495219469	NA	1433.5411234246	NA	ng/ml
Zha2022	NA	all	11.0	FUJI075_3D	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075_3D	144.0	hr	NA	68573.1569969578	NA	1508.99065623641	NA	ng/ml
Zha2022	NA	all	11.0	FUJI075_3D	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075_3D	168.0	hr	NA	66913.2672750977	NA	1282.64205780099	NA	ng/ml
Zha2022	NA	all	11.0	FUJI075_3D	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075_3D	192.0	hr	NA	65781.5242829204	NA	1433.5411234246	NA	ng/ml
Zha2022	NA	all	11.0	FUJI075_3D	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075_3D	216.0	hr	NA	NA	NA	NA	NA	ng/ml
Zha2022	NA	all	11.0	FUJI075_3D	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075_3D	240.0	hr	NA	62989.8915688831	NA	1584.4401890482	NA	ng/ml
Zha2022	NA	all	11.0	FUJI075_3D	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075_3D	264.0	hr	NA	62386.2953063885	NA	1433.5411234246	NA	ng/ml
Zha2022	NA	all	11.0	FUJI075_3D	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075_3D	288.0	hr	NA	60877.3046501521	NA	1584.4401890482	NA	ng/ml
Zha2022	NA	all	11.0	FUJI075_3D	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075_3D	312.0	hr	NA	59745.5616579748	NA	1433.5411234246	NA	ng/ml
Zha2022	NA	all	11.0	FUJI075_3D	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075_3D	336.0	hr	NA	58915.6167970447	NA	1358.0915906128	NA	ng/ml
