study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	min	max	sd	se	unit	comments
Zimmerman1997	RAP05_6_5	3.0	RAP4	cmin	rapamycin	blood	LC MS/MS	NA	NA	37.5	NA	NA	18.9	NA	ng/ml	NA
Zimmerman1997	RAP05_6_5	3.0	RAP4	bp_ratio	rapamycin	blood	LC MS/MS	NA	NA	45.6	NA	NA	4.8	NA	dimensionless	NA
Zimmerman1997	RAP05_6_5	2.0	RAP5	cmax	rapamycin	blood	LC MS/MS	NA	NA	110.0	NA	NA	89.0	NA	ng/ml	steady state
Zimmerman1997	RAP05_6_5	2.0	RAP5	tmax	rapamycin	blood	LC MS/MS	NA	NA	1.0	NA	NA	0.0	NA	hr	NA
Zimmerman1997	RAP05_6_5	2.0	RAP5	thalf	rapamycin	blood	LC MS/MS	NA	NA	83.3	NA	NA	16.2	NA	hr	NA
Zimmerman1997	RAP05_6_5	2.0	RAP5	auc_end	rapamycin	blood	LC MS/MS	12.0	hr	455.0	NA	NA	250.0	NA	ng*hr/ml	NA
Zimmerman1997	RAP05_6_5	2.0	RAP5	oral-clearance	rapamycin	blood	LC MS/MS	NA	NA	310.0	NA	NA	150.0	NA	ml/hr/kg	NA
Zimmerman1997	RAP05_6_5	2.0	RAP5	vd	rapamycin	blood	LC MS/MS	NA	NA	12.9	NA	NA	5.2	NA	l/kg	po,ss
Zimmerman1997	RAP05_6_5	2.0	RAP5	mrt	rapamycin	blood	LC MS/MS	NA	NA	42.6	NA	NA	3.7	NA	hr	NA
Zimmerman1997	RAP05_6_5	2.0	RAP5	cmin	rapamycin	blood	LC MS/MS	NA	NA	27.0	NA	NA	12.9	NA	ng/ml	sd for 3 people
Zimmerman1997	RAP05_6_5	2.0	RAP5	bp_ratio	rapamycin	blood	LC MS/MS	NA	NA	36.1	NA	NA	20.4	NA	dimensionless	NA
Zimmerman1997	RAP05_6_5	2.0	RAP6_5	cmax	rapamycin	blood	LC MS/MS	NA	NA	210.0	NA	NA	12.0	NA	ng/ml	steady state
Zimmerman1997	RAP05_6_5	2.0	RAP6_5	tmax	rapamycin	blood	LC MS/MS	NA	NA	0.7	NA	NA	0.0	NA	hr	NA
Zimmerman1997	RAP05_6_5	2.0	RAP6_5	thalf	rapamycin	blood	LC MS/MS	NA	NA	50.8	NA	NA	12.3	NA	hr	NA
Zimmerman1997	RAP05_6_5	2.0	RAP6_5	auc_end	rapamycin	blood	LC MS/MS	12.0	hr	1428.0	NA	NA	83.0	NA	ng*hr/ml	NA
Zimmerman1997	RAP05_6_5	2.0	RAP6_5	oral-clearance	rapamycin	blood	LC MS/MS	NA	NA	96.7	NA	NA	9.9	NA	ml/hr/kg	NA
Zimmerman1997	RAP05_6_5	2.0	RAP6_5	vd	rapamycin	blood	LC MS/MS	NA	NA	5.6	NA	NA	0.6	NA	l/kg	po,ss
Zimmerman1997	RAP05_6_5	2.0	RAP6_5	mrt	rapamycin	blood	LC MS/MS	NA	NA	57.3	NA	NA	0.7	NA	hr	NA
Zimmerman1997	RAP05_6_5	2.0	RAP6_5	cmin	rapamycin	blood	LC MS/MS	NA	NA	101.0	NA	NA	30.8	NA	ng/ml	sd for 3 people
Zimmerman1997	RAP05_6_5	2.0	RAP6_5	bp_ratio	rapamycin	blood	LC MS/MS	NA	NA	30.0	NA	NA	4.5	NA	dimensionless	NA
